day,start_datetime,end_datetime,activity,calories,distance,intensity,label,source,id
"2025-01-16","2025-01-16T18:58:00-05:00","2025-01-16T19:50:00-05:00","strengthTraining",196.14399999999998,201.17372355570296,"moderate","","confirmed","a19b63f9-f724-406e-9c4a-c40187475620"
"2025-01-17","2025-01-17T17:01:00-05:00","2025-01-17T17:27:00-05:00","walking","",1664.4857287835177,"moderate","","confirmed","b947e7e4-1e39-4a61-8473-b5b2fa374f85"
"2025-01-17","2025-01-17T23:05:00-05:00","2025-01-17T23:26:00-05:00","walking","",1376.4379078818401,"moderate","","confirmed","039075d3-34b6-46f5-8a14-fb22899cc26c"
"2025-01-18","2025-01-18T14:20:00-05:00","2025-01-18T15:20:00-05:00","strengthTraining",226.32,1095.3124078537833,"moderate","","confirmed","d5ad24cc-bad6-48d1-bbc4-5604d9818e38"
"2025-01-20","2025-01-20T18:03:00-05:00","2025-01-20T19:30:00-05:00","strengthTraining",328.164,94.40092050338687,"moderate","","confirmed","fb08cac8-f37f-475c-b5e5-71d37eea7705"
"2025-01-20","2025-01-20T19:39:00-05:00","2025-01-20T19:53:00-05:00","walking","",395.8157424891173,"moderate","","confirmed","1165170e-c5dd-4ee9-8501-cd7f6c602497"
"2025-01-21","2025-01-21T10:47:00-05:00","2025-01-21T11:10:00-05:00","walking","",798.5445692767499,"moderate","","confirmed","d6f49444-fe4a-4948-b5c1-ac3ec68b72fa"
"2025-01-21","2025-01-21T12:56:00-05:00","2025-01-21T13:09:00-05:00","walking","",565.9048102047777,"moderate","","confirmed","b121190e-6ea6-46bb-83a6-609c452bd653"
"2025-01-21","2025-01-21T16:50:00-05:00","2025-01-21T17:01:00-05:00","walking","",691.0807110636271,"moderate","","confirmed","93525cf9-c7ea-42ff-bc09-fff9db5a6387"
"2025-01-21","2025-01-21T18:25:00-05:00","2025-01-21T19:50:00-05:00","strengthTraining",320.62,735.795788740531,"moderate","","confirmed","725f3375-0512-49dc-81fa-4805f1d94199"
